":START_ID",":END_ID"
"8105","1"
"8106","1"
"8107","1"
"8108","1"
"8109","1"
"8110","1"
"8111","1"
"8112","1"
"8113","1"
"8114","1"
"8115","1"
"8116","1"
"8117","1"
"8118","1"
"8119","1"
"8120","1"
"8121","1"
"8122","1"
"8123","1"
"8124","1"
"8125","1"
"8126","1"
"8127","1"
"8128","1"
"8129","1"
"8130","1"
"8131","1"
"8132","1"
"8133","1"
"8134","1"
"8135","1"
"8136","1"
"8137","1"
"8138","1"
"8139","1"
"8140","1"
"8141","1"
"8142","1"
"8143","1"
"8144","1"
"8145","1"
"8146","1"
"8147","1"
"8148","1"
"8149","1"
"8150","1"
"8151","1"
"8152","1"
"8153","1"
"8154","1"
"8155","1"
"8156","1"
"8157","1"
"8158","1"
"8159","1"
"8160","1"
"8161","1"
"8162","1"
"8163","1"
"8164","1"
"8165","1"
"8166","1"
"8167","1"
"8168","1"
"8169","1"
"8170","1"
"8171","1"
"8172","1"
"8173","1"
"8174","1"
"8175","1"
"8176","1"
"8177","1"
"8178","1"
"8179","1"
"8180","1"
"8181","1"
"8182","1"
"8183","1"
"8184","1"
"8185","1"
"8186","1"
"8187","1"
"8188","1"
"8189","1"
"8190","1"
"8191","1"
"8192","1"
"8193","1"
"8194","1"
"8195","1"
"8196","1"
"8197","1"
"8198","1"
"8199","1"
"8200","1"
"8201","1"
"8202","1"
"8203","1"
"8204","1"
"8205","1"
"8206","1"
"8207","1"
"8208","1"
"8209","1"
"8210","1"
"8211","1"
"8212","1"
"8213","1"
"8214","1"
"8215","1"
"8216","1"
"8217","1"
"8218","1"
"8219","1"
"8220","1"
"8221","1"
"8222","1"
"8223","1"
"8224","1"
"8225","1"
"8226","1"
"8227","1"
"8228","1"
"8229","1"
"8230","1"
"8231","1"
"8232","1"
"8233","1"
"8234","1"
"8235","1"
"8236","1"
"8237","1"
"8238","1"
"8239","1"
"8240","1"
"8241","1"
"8242","1"
"8243","1"
"8244","1"
"8245","1"
"8246","1"
"8247","1"
"8248","1"
"8249","1"
"8250","1"
"8251","1"
"8252","1"
"8253","1"
"8254","1"
"8255","1"
"8256","1"
"8257","1"
"8258","1"
"8259","1"
"8260","1"
"8261","1"
"8262","1"
"8263","1"
"8264","1"
"8265","1"
"8266","1"
"8267","1"
"8268","1"
"8269","1"
"8270","1"
"8271","1"
"8272","1"
"8273","1"
"8274","1"
"8275","1"
"8276","1"
"8277","1"
"8278","1"
"8279","1"
"8280","1"
"8281","1"
"8282","1"
"8283","1"
"8284","1"
"8285","1"
"8286","1"
"8287","1"
"8288","1"
"8289","1"
"8290","1"
"8291","1"
"8292","1"
"8293","1"
"8294","1"
"8295","1"
"8296","1"
"8297","1"
"8298","1"
"8299","1"
"8300","1"
"8301","1"
"8302","1"
"8303","1"
"8304","1"
"8305","1"
"8306","1"
"8307","1"
"8308","1"
"8309","1"
"8310","1"
"8311","1"
"8312","1"
"8313","1"
"8314","1"
"8315","1"
"8316","1"
"8317","1"
"8318","1"
"8319","1"
"8320","1"
"8321","1"
"8322","1"
"8323","1"
"8324","1"
"8325","1"
"8326","1"
"8327","1"
"8328","1"
"8329","1"
"8330","1"
"8331","1"
"8332","1"
"8333","1"
"8334","1"
"8335","1"
"8336","1"
"8337","1"
"8338","1"
"8339","1"
"8340","1"
"8341","1"
"8342","1"
"8343","1"
"8344","1"
"8345","1"
"8346","1"
"8347","1"
"8348","1"
"8349","1"
"8350","1"
"8351","1"
"8352","1"
"8353","1"
"8354","1"
"8355","1"
"8356","1"
"8357","1"
"8358","1"
"8359","1"
"8360","1"
"8361","1"
"8362","1"
"8363","1"
"8364","1"
"8365","1"
"8366","1"
"8367","1"
"8368","1"
"8369","1"
"8370","1"
"8371","1"
"8372","1"
"8373","1"
"8374","1"
"8375","1"
"8376","1"
"8377","1"
"8378","1"
"8379","1"
"8380","1"
"8381","1"
"8382","1"
"8383","1"
"8384","1"
"8385","1"
"8386","1"
"8387","1"
"8388","1"
"8389","1"
"8390","1"
"8391","1"
